Date : 2022-09-16 20:20:54
Directory : d:\workspace\playground\vscode\src
Total : 3617 files,  821382 codes, 99587 comments, 157398 blanks, all 1078367 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalLinkQuickpick.ts                                       | TypeScript         |         71 |          4 |          9 |         84 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalLocalLinkDetector.ts                                   | TypeScript         |        146 |         53 |         28 |        227 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalUriLinkDetector.ts                                     | TypeScript         |        101 |         16 |         24 |        141 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\links\terminalWordLinkDetector.ts                                    | TypeScript         |         73 |         12 |         16 |        101 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\scrollbar.css                                                  | CSS                |         43 |          5 |          9 |         57 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\shellIntegration-bash.sh                                       | Shell Script       |        167 |         23 |         24 |        214 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\shellIntegration-env.zsh                                       | Shell Script       |          7 |          4 |          3 |         14 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\shellIntegration-login.zsh                                     | Shell Script       |          5 |          4 |          1 |         10 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\shellIntegration-profile.zsh                                   | Shell Script       |          6 |          4 |          1 |         11 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\shellIntegration-rc.zsh                                        | Shell Script       |         98 |         14 |         22 |        134 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\shellIntegration.ps1                                           | PowerShell         |         63 |         27 |         10 |        100 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\terminal.css                                                   | CSS                |        367 |         21 |         75 |        463 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\widgets.css                                                    | CSS                |         35 |          4 |          7 |         46 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\media\xterm.css                                                      | CSS                |        134 |         49 |         28 |        211 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\remotePty.ts                                                         | TypeScript         |        159 |         10 |         32 |        201 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\remoteTerminalBackend.ts                                             | TypeScript         |        315 |         16 |         38 |        369 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminal.contribution.ts                                             | TypeScript         |        218 |         33 |         19 |        270 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminal.ts                                                          | TypeScript         |        394 |        447 |        161 |      1,002 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminal.web.contribution.ts                                         | TypeScript         |         13 |          6 |          4 |         23 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalActions.ts                                                   | TypeScript         |      2,436 |         31 |         74 |      2,541 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalCommands.ts                                                  | TypeScript         |         21 |          4 |          5 |         30 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalConfigHelper.ts                                              | TypeScript         |        212 |         21 |         34 |        267 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalContextMenu.ts                                               | TypeScript         |         19 |          4 |          7 |         30 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalDecorationsProvider.ts                                       | TypeScript         |         45 |          4 |         11 |         60 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalEditor.ts                                                    | TypeScript         |        185 |         15 |         23 |        223 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalEditorInput.ts                                               | TypeScript         |        179 |         20 |         32 |        231 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalEditorSerializer.ts                                          | TypeScript         |         42 |          4 |          7 |         53 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalEditorService.ts                                             | TypeScript         |        276 |         11 |         29 |        316 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalEscapeSequences.ts                                           | TypeScript         |         29 |         67 |         16 |        112 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalFindWidget.ts                                                | TypeScript         |        127 |          6 |         19 |        152 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalGroup.ts                                                     | TypeScript         |        474 |         37 |         78 |        589 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalGroupService.ts                                              | TypeScript         |        368 |         45 |         61 |        474 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalIcon.ts                                                      | TypeScript         |        110 |          4 |         12 |        126 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalIcons.ts                                                     | TypeScript         |         15 |          4 |          7 |         26 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalInstance.ts                                                  | TypeScript         |      2,177 |        203 |        292 |      2,672 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalInstanceService.ts                                           | TypeScript         |         76 |          7 |         11 |         94 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalMainContribution.ts                                          | TypeScript         |         29 |         60 |          3 |         92 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalMenus.ts                                                     | TypeScript         |        787 |          6 |         26 |        819 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalProcessExtHostProxy.ts                                       | TypeScript         |        140 |          9 |         30 |        179 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalProcessManager.ts                                            | TypeScript         |        629 |         97 |         90 |        816 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalProfileQuickpick.ts                                          | TypeScript         |        230 |          9 |         18 |        257 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalProfileResolverService.ts                                    | TypeScript         |        471 |         37 |         60 |        568 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalProfileService.ts                                            | TypeScript         |        184 |         17 |         24 |        225 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalQuickAccess.ts                                               | TypeScript         |        131 |          4 |         11 |        146 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalRunRecentQuickPick.ts                                        | TypeScript         |        279 |         24 |         17 |        320 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalService.ts                                                   | TypeScript         |      1,045 |         76 |        129 |      1,250 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalStatusList.ts                                                | TypeScript         |        125 |         34 |         17 |        176 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalTabbedView.ts                                                | TypeScript         |        407 |         21 |         58 |        486 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalTabsList.ts                                                  | TypeScript         |        626 |         19 |         80 |        725 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalTooltip.ts                                                   | TypeScript         |         23 |          4 |          3 |         30 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalTypeAheadAddon.ts                                            | TypeScript         |      1,066 |        250 |        243 |      1,559 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalUri.ts                                                       | TypeScript         |         46 |          6 |          8 |         60 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\terminalView.ts                                                      | TypeScript         |        542 |         27 |         52 |        621 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\widgets\environmentVariableInfoWidget.ts                             | TypeScript         |         75 |          5 |         13 |         93 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\widgets\terminalHoverWidget.ts                                       | TypeScript         |        117 |          8 |         19 |        144 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\widgets\widgetManager.ts                                             | TypeScript         |         36 |          4 |          6 |         46 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\widgets\widgets.ts                                                   | TypeScript         |          5 |          7 |          3 |         15 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\xterm-private.d.ts                                                   | TypeScript         |         32 |          5 |         10 |         47 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\xterm\decorationAddon.ts                                             | TypeScript         |        501 |         14 |         36 |        551 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\xterm\lineDataEventAddon.ts                                          | TypeScript         |         53 |         12 |         10 |         75 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\xterm\markNavigationAddon.ts                                         | TypeScript         |        405 |         18 |         58 |        481 |
| d:\workspace\playground\vscode\src\vs\workbench\contrib\terminal\browser\xterm\navigationModeAddon.ts                                         | TypeScript         |        105 |          7 |         15 |        127 |
